Codigo;CedulaUsuario
G66;1017441553
M89;1034302860
O52;1028305665
R59;1011974003
M89;1017197195
M89;1025642871
E12;1020043236
G66;1030912485
E12;1036443952
L45;1013243882
O52;1023235896
C50;1031793961
L45;1020542044
O52;1033176991
G66;1027463653
R59;1030280724
L45;1029160718
T69;1022443512
E12;1012839602
O52;1029529053
R59;1017049267
T69;1020126962
O52;1030012288
C50;1012577232
G66;1025173562
C59;1031191842
C50;1016064067
C50;1027624060
R59;1022832061
C59;1024895282
R59;1022029691
E12;1018006088
T69;1012432576
T69;1016545970
O52;1025723905
L45;1035621447
O52;1016906556
C50;1016285760
M89;1028988339
E12;1022785840
M89;1013063263
E12;1032305900
C59;1033274326
R59;1027500393
T69;1021250915
C50;1010759277
M89;1019697168
L45;1031144136
C59;1025658675
T69;1018874624
C50;1034219185
L45;1022332178
G66;1016363055
C58;1019574129
M89;1026372240
O52;1032950699
C58;1033530266
C58;1027235838
R59;1036554350
C50;1032233121
R59;1017298661
E12;1033851204
L45;1027997111
L45;1014816984
O52;1034634457
R59;1012616168
L45;1026646839
L45;1018168876
G66;1029916358
C59;1016710542
E12;1016039162
R59;1015943979
L45;1020264836
E12;1021289470
C59;1029882138
T69;1032412648
E12;1016208162
T69;1023089975
R59;1027339668
C58;1034626596
C59;1035748087
C58;1015211523
R59;1024835353
T69;1023211967
R59;1032067633
R59;1034006253
C59;1017888218
M89;1035150036
L45;1030729701
G66;1030580496
O52;1030081377
O52;1010762448
L45;1025945211
E12;1026775365
O52;1034762852
C50;1031437477
E12;1028845500
C58;1011211762
T69;1027845752
C59;1021083127
C58;1011092797
E12;1027463800
L45;1021764783
M89;1034831077
E12;1014780490
R59;1031900546
C50;1014112310
C59;1023451060
L45;1033643219
T69;1028647703
E12;1033024702
O52;1030505241
L45;1022041000
G66;1035612323
C58;1018663698
C59;1029669483
T69;1022032028
M89;1027693844
C58;1011874746
L45;1017387910
C58;1017795618
L45;1016253023
T69;1035026165
C59;1024227305
O52;1020450856
C50;1030153906
C58;1017460554
M89;1027071450
M89;1021492098
R59;1035460790
L45;1027815119
T69;1018238147
C50;1013473250
C50;1021578768
C59;1020155882
C58;1020199095
E12;1024551606
R59;1015828846
M89;1035256526
L45;1019815506
O52;1010366784
C50;1012837867
E12;1031660859
E12;1034381484
O52;1033494912
M89;1025147526
R59;1014560873
G66;1017864896
R59;1032197746
T69;1015921075
T69;1025182857
C59;1027507624
G66;1030392811
C50;1014872986
M89;1029805056
C59;1034859649
T69;1036948347
R59;1018228935
R59;1015893213
L45;1022690921
C59;1017742586
O52;1033809879
C50;1013108102
C59;1010639675
L45;1025156625
R59;1025148627
L45;1035215072
C50;1025539156
C58;1023177383
E12;1027815390
T69;1023165108
C59;1015630131
G66;1036269652
R59;1011473435
T69;1032818250
G66;1012014709
M89;1027437085
C58;1018662932
C59;1017203152
T69;1022149508
C58;1021215218
L45;1025025488
T69;1017843938
L45;1020338335
L45;1031142955
O52;1019412066
E12;1011604261
T69;1025977470
L45;1031576225
C59;1028393840
E12;1011223862
E12;1023443702
T69;1030531540
G66;1021770235
O52;1034988286
O52;1012793776
R59;1023457001
L45;1013448643
G66;1031975744
E12;1023757828
O52;1022519222
C59;1030389959
L45;1024947166
M89;1029165650
C59;1028173479
E12;1024648260
R59;1017373559
L45;1020172976
G66;1029459641
C58;1014013487
C59;1021631433
L45;1028258336
L45;1018496338
O52;1012678629
G66;1017269747
C58;1014706707
L45;1027631076
L45;1033133009
E12;1035256212
E12;1019454598
R59;1013506381
G66;1024920169
O52;1035889505
M89;1019578059
R59;1025470810
T69;1016528423
M89;1033394575
R59;1027989613
G66;1015554881
G66;1014164584
C59;1023888256
C59;1031876616
C58;1020519161
O52;1023856583
E12;1013219048
T69;1030944654
M89;1036286906
T69;1019073466
G66;1031413312
C59;1028353074
E12;1029006295
T69;1032690549
E12;1010491597
R59;1027671879
E12;1029164723
C59;1033273739
E12;1020734275
M89;1032558838
R59;1015860844
C50;1035211512
M89;1036802664
O52;1035131792
E12;1036607162
E12;1014294371
C59;1031599061
C59;1032281199
C58;1017595914
C59;1025211543
T69;1025971324
R59;1024436157
C58;1011820020
C59;1029710650
O52;1031056771
M89;1031924304
O52;1011903534
O52;1031882632
G66;1032403857
C58;1023201784
M89;1026470802
C59;1034495974
G66;1025341529
M89;1022109149
C58;1027392483
C59;1016791872
T69;1019951732
C59;1013287660
C59;1019219563
E12;1019945950
C59;1024723461
O52;1016966781
C50;1017593982
C50;1030491103
O52;1026254833
E12;1010347565
M89;1019847739
C59;1033695433
C58;1035141078
E12;1033241818
C59;1031252297
T69;1033461318
T69;1022661038
C59;1019156586
O52;1024999180
C50;1035163173
R59;1023957181
C58;1027015490
T69;1027376923
T69;1015818101
G66;1025319367
L45;1015014894
C59;1029555359
C58;1015432500
C50;1035339965
M89;1023283418
E12;1016685464
G66;1014827829
C59;1028967876
C50;1029233279
M89;1020005880
G66;1019369249
L45;1028383534
G66;1023842445
E12;1021024123
C58;1023692649
O52;1027469768
C50;1016234263
L45;1019749536
T69;1034182811
M89;1025981147
G66;1012087399
C58;1017578573
C50;1029125871
M89;1032062000
T69;1020777356
E12;1023356419
L45;1036742883
C50;1035539102
L45;1010545462
C59;1028644112
G66;1022885087
R59;1029004885
G66;1020315822
T69;1031569183
C58;1022937126
T69;1023683675
O52;1035504567
L45;1021556292
O52;1015668723
O52;1034792643
T69;1018129233
O52;1012394388
C59;1020879558
G66;1028012275
E12;1033296166
E12;1027461561
O52;1011714346
C50;1019542962
L45;1014993105
C50;1029780649
C58;1014371762
C59;1027476008
M89;1020491945
M89;1036748644
E12;1013633028
C59;1027189022
M89;1013561259
C58;1014706121
C59;1024725879
E12;1021377088
C50;1023128463
T69;1013847192
G66;1016876281
M89;1021730112
C50;1014421102
G66;1011273671
C58;1035989890
C50;1017711912
E12;1026384165
M89;1024916820
C50;1019193910
M89;1030938192
G66;1026906044
C59;1026998556
O52;1026896152
E12;1025123456
C50;1014063036
C50;1015100564
C58;1013402486
T69;1021023169
C58;1032729446
C59;1017005235
E12;1012073022
T69;1034932921
C59;1010962071
G66;1031953551
G66;1033896571
C58;1016382175
G66;1023375147
G66;1036042232
T69;1022877334
C58;1031274849
L45;1011267502
R59;1015202939
E12;1017379274
O52;1032590761
M89;1031173587
M89;1025249482
G66;1024483387
C50;1031947414
G66;1015974452
C59;1023056831
G66;1026866707
E12;1036771212
L45;1034300136
C50;1027094475
